latitude,longitude,timestamp,magnitude
51.4843,-176.0662,7/28/2016 13:16,1.2
35.5403333,-119.3643333,7/28/2016 13:16,1.89
52.7849,-166.8049,7/28/2016 13:37,1.8
59.9663,-152.6361,7/28/2016 13:48,1.9
32.9715,-116.351,7/28/2016 14:00,0.96
34.0326667,-117.0773333,7/28/2016 14:03,0.82
33.2478333,-116.4083333,7/28/2016 14:11,1.71
44.2975,-120.8655,7/28/2016 14:14,1.73
52.7061,-166.7263,7/28/2016 14:22,2
38.786,-122.6968333,7/28/2016 14:23,0.27
33.7285,-115.9456667,7/28/2016 14:28,0.92
51.5772,-173.3847,7/28/2016 14:31,2.5
63.0971,-149.2056,7/28/2016 14:33,0.7
44.6655,-110.0355,7/28/2016 14:41,1.61
35.0458333,-118.3286667,7/28/2016 14:44,1.43
63.5278,-150.8334,7/28/2016 14:50,0.8
-6.1428,154.4552,7/28/2016 15:01,4.8
51.5063,-173.9599,7/28/2016 15:01,2.5
33.8261667,-117.1776667,7/28/2016 15:04,0.93
44.625,-114.3538333,7/28/2016 15:13,1.66
38.8216667,-122.822,7/28/2016 15:17,0.27
44.5741667,-110.7581667,7/28/2016 15:20,1.75
62.381,-151.8536,7/28/2016 15:42,1.5
36.81,-121.5371667,7/28/2016 15:48,1.95
35.6818333,-121.1255,7/28/2016 16:00,1.15
18.628,-64.6171,7/28/2016 16:04,2.1
35.6823333,-121.1245,7/28/2016 16:13,3.22
52.8432,-166.8639,7/28/2016 16:14,3.5
38.7726667,-122.747,7/28/2016 16:15,0.34
35.6806667,-121.1325,7/28/2016 16:17,0.78
39.6928,-119.9769,7/28/2016 16:17,0.2
35.6816667,-121.1266667,7/28/2016 16:21,1.2
35.6815,-121.1246667,7/28/2016 16:24,1.64
36.5009,-116.0098,7/28/2016 16:25,0.3
44.5658333,-110.7645,7/28/2016 16:30,0.82
37.3986667,-121.7516667,7/28/2016 16:35,1.57
52.8378,-166.8442,7/28/2016 16:50,2
19.4045,-155.2826667,7/28/2016 16:51,1.98
46.856,-121.7575,7/28/2016 16:53,0.25
